Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude,Use Location
26,WSCR594 G,Analogue,	462.62500,	467.62500,25,,,,,,,,None,107.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.9837,-78.9074,Yes
27,Warrenton G,Analogue,	462.72500,	467.72500,25,,,,,,,,None,146.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.7416,-77.8351,Yes
28,High Knob 2m,Analogue,	145.21000,	144.61000,25,,,,,,,,None,146.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.8862,-78.112,Yes
29,North Mtn 2m,Analogue,	145.39000,	144.79000,25,,,,,,,,None,146.2,Disabled,Master,No,No,No,0,Off,No,No,None,39.2001,-78.3572,Yes
30,Great North 2m,Analogue,	146.82000,	146.22000,25,,,,,,,,None,146.2,Disabled,Master,No,No,No,0,Off,No,No,None,39.2117,-78.3477,Yes
31,Blue Ridge 2m,Analogue,	147.30000,	147.90000,25,,,,,,,,None,146.2,Disabled,Master,No,No,No,0,Off,No,No,None,39.0847,-77.86,Yes
32,WAIW 1.25m,Analogue,	224.28000,	222.68000,25,,,,,,,,None,100.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.9559,-78.024,Yes
33,Bull Run 1.25m,Analogue,	224.40000,	222.80000,25,,,,,,,,None,77.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.9032,-77.6618,Yes
34,North Mtn 1.25,Analogue,	224.90000,	223.30000,25,,,,,,,,None,146.2,Disabled,Master,No,No,No,0,Off,No,No,None,39.2001,-78.3572,Yes
35,Blue Ridge 70c,Analogue,	442.35000,	447.35000,25,,,,,,,,None,123.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.9089,-78.0756,Yes
36,N3UHD 70c,Analogue,	442.47500,	447.47500,25,,,,,,,,None,77.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.929,-78.4634,Yes
37,NM4CC 70c,Analogue,	442.60000,	447.60000,25,,,,,,,,None,141.3,Disabled,Master,No,No,No,0,Off,No,No,None,39.1933,-78.3711,Yes
38,N3UHD-2 70c,Analogue,	444.15000,	449.15000,25,,,,,,,,None,77.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.9084,-78.0773,Yes
39,KM4OGQ 70c,Analogue,	444.25000,	449.25000,25,,,,,,,,None,100.0,Disabled,Master,No,No,No,0,Off,No,No,None,39.2639,-78.3318,Yes
40,KC4RCR 70c,Analogue,	444.30000,	449.30000,25,,,,,,,,None,141.3,Disabled,Master,No,No,No,0,Off,No,No,None,39.1885,-78.0191,Yes
41,K4IAD 70c,Analogue,	444.75000,	449.75000,25,,,,,,,,None,173.8,Disabled,Master,No,No,No,0,Off,No,No,None,38.9537,-77.4477,Yes
42,Bull Run Mtn 70c,Analogue,	448.22500,	443.22500,25,,,,,,,,None,77.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.9032,-77.6618,Yes
43,Great North 70c,Analogue,	448.77500,	443.77500,25,,,,,,,,None,146.2,Disabled,Master,No,No,No,0,Off,No,No,None,39.2117,-78.3477,Yes
44,Seven Corners G,Analogue,	462.55000,	467.55000,25,,,,,,,,None,141.3,Disabled,Master,No,No,No,0,Off,No,No,None,38.8743,-77.149,Yes
45,Clarendon G,Analogue,	462.57500,	467.57500,25,,,,,,,,None,141.3,Disabled,Master,No,No,No,0,Off,No,No,None,38.8899,-77.0863,Yes
