Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
524,CB 30 FM,27.305000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
525,CB 31 FM,27.315000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
526,CB 32 FM,27.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
527,CB 33 FM,27.335000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
528,CB 34 FM,27.345000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
529,CB 35 FM,27.355000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
530,CB 36 FM,27.365000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
531,CB 37 FM,27.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
532,CB 38 FM,27.385000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
533,CB 39 FM,27.395000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
534,CB 40 FM,27.405000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
536,CB 1 AM,26.965000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
537,CB 2 AM,26.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
538,CB 3 AM,26.985000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
539,CB 4 AM,27.005000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
540,CB 5 AM,27.015000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
541,CB 6 AM,27.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
542,CB 7 AM,27.035000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
543,CB 8 AM,27.055000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
544,CB 9 AM,27.065000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
545,CB 10 AM,27.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
546,CB 11 AM,27.085000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
547,CB 12 AM,27.105000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
548,CB 13 AM,27.115000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
549,CB 14 AM,27.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
550,CB 15 AM,27.135000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
551,CB 16 AM,27.155000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
552,CB 17 AM,27.165000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
553,CB 18 AM,27.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
554,CB 19 AM,27.185000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
555,CB 20 AM,27.205000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
556,CB 21 AM,27.215000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
557,CB 22 AM,27.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
558,CB 23 AM,27.255000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
559,CB 24 AM,27.235000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
560,CB 25 AM,27.245000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
561,CB 26 AM,27.265000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
562,CB 27 AM,27.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
563,CB 28 AM,27.285000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
564,CB 29 AM,27.295000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
565,CB 30 AM,27.305000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
566,CB 31 AM,27.315000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
567,CB 32 AM,27.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
568,CB 33 AM,27.335000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
569,CB 34 AM,27.345000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
570,CB 35 AM,27.355000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
571,CB 36 AM,27.365000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
572,CB 37 AM,27.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
573,CB 38 AM,27.385000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
574,CB 39 AM,27.395000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
575,CB 40 AM,27.405000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Citizen's Band AM,,,,
577,2024 NASCAR Frequencies,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
578,Ross Chastain 1,463.237500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
579,Ross Chastain 2,469.387500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
580,Austin Cindric 1,466.212500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
581,Austin Cindric 2,452.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
582,Austin Dillon 1,469.012500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
583,Austin Dillon 2,462.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
584,Kevin Harvick 1,469.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
585,Kevin Harvick 2,452.012500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
586,Kyle Larson 1,465.862500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
587,Kyle Larson 2,451.987500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
588,Brad Keselowski 1,466.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
589,Brad Keselowski 2,461.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
590,Corey LaJoie 1,469.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
591,Corey LaJoie 2,468.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
592,Tyler Reddick 1,457.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,2024 Nascar Frequencies,,,,
